DNA.16S.Sequence.ID,Sample.ID,Sample.Name,Project.Date,H.L..Hi.Lo.,Core.Set.A.B.or.1.3,Sampling.Date,Plot.or.Location,Plot.Location.Number,Hi.Lo,Depth,Section,Catalog.Number,DNA.16S.Original.Sample.Name,Re.Run...Yes.Needs.Done.Y.N.
SP0514.FP0360.D1,SP0514-4LC-FP0360,05312014_P4Lo_-0-10_FP0360,SP0514,L,A1,5312014,P,4,Lo,-0-10,C,FP0360,053114_P4Lo1_-10,
SP0514.FP0361.D1,SP0514-4LB-FP0361,05312014_P4Lo_-10-20_FP0361,SP0514,L,A1,5312014,P,4,Lo,-10-20,B,FP0361,053114_P4Lo1_-20,
SP0514.FP0362.D1,SP0514-4LA-FP0362,05312014_P4Lo_-20-30_FP0362,SP0514,L,A1,5312014,P,4,Lo,-20-30,A,FP0362,053114_P4Lo1_-30,
SP0514.FP0363.D1,SP0514-6LC-FP0363,05312014_P6Lo_-0-10_FP0363,SP0514,L,A1,5312014,P,6,Lo,-0-10,C,FP0363,053114_P6Lo1_-10,
SP0514.FP0364.D1,SP0514-6LB-FP0364,05312014_P6Lo_-10-20_FP0364,SP0514,L,A1,5312014,P,6,Lo,-10-20,B,FP0364,053114_P6Lo1_-20,
SP0514.FP0365.D1,SP0514-6LA-FP0365,05312014_P6Lo_-20-30_FP0365,SP0514,L,A1,5312014,P,6,Lo,-20-30,A,FP0365,053114_P6Lo1_-30,
SP0514.FP0369.D1,SP0514-7LC-FP0369,05312014_P7Lo_-0-10_FP0369,SP0514,L,A1,5312014,P,7,Lo,-0-10,C,FP0369,053114_P7Lo1_-10,
SP0514.FP0370.D1,SP0514-7LB-FP0370,05312014_P7Lo_-10-20_FP0370,SP0514,L,A1,5312014,P,7,Lo,-10-20,B,FP0370,053114_P7Lo1_-20,
SP0514.FP0371.D1,SP0514-7LA-FP0371,05312014_P7Lo_-20-30_FP0371,SP0514,L,A1,5312014,P,7,Lo,-20-30,A,FP0371,053114_P7Lo1_-30,
SP0514.FP0375.D1,SP0514-8LC-FP0375,05312014_P8Lo_-0-10_FP0375,SP0514,L,A1,5312014,P,8,Lo,-0-10,C,FP0375,053114_P8Lo1_-10,
